year,month,origin,blend,roast_level,type,sales,unit_price
2016,12,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3684.25,10.28154871794872
2016,12,Ethiopia,Single,medium,Evergreen,558.75,9.331724137931033
2016,12,Ethiopia,Single,medium,Seasonal,358.75,10.243378995433792
2016,12,Guatemala,Single,medium,Seasonal,876.0,9.242096774193548
2016,12,Haiti,Single,dark,Seasonal,41.0,4.288
2016,12,Kenya,Single,medium,Seasonal,270.5,7.764102564102564
2016,12,"Kenya, Colombia",Blend,medium,Evergreen,233.25,8.528780952380952
2016,12,Mexico,Single,medium,Seasonal,282.75,8.757866666666665
2016,12,Nicaragua,Single,medium,Seasonal,152.0,11.24533333333333
2016,12,Panama,Single,light,Seasonal,33.5,5.625
2016,12,Papua New Guinea,Single,light,Seasonal,139.5,7.875379310344828
2017,1,Brazil,Single,dark,Seasonal,2090.25,8.024353535353535
2017,1,Colombia,Single,dark,Evergreen,666.75,10.281116465863448
2017,1,Colombia,Single,medium,Seasonal,254.0,8.050909090909089
2017,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3740.25,10.035611683848796
2017,1,Ethiopia,Single,medium,Evergreen,458.0,9.37217721518987
2017,1,Ethiopia,Single,medium,Seasonal,21.75,7.833333333333333
2017,1,Guatemala,Single,medium,Seasonal,695.5,9.392360000000002
2017,1,Haiti,Single,dark,Seasonal,4.5,3.5511111111111116
2017,1,Kenya,Single,medium,Seasonal,389.25,8.129074074074076
2017,1,"Kenya, Colombia",Blend,medium,Evergreen,227.0,6.35479012345679
2017,1,Mexico,Single,medium,Seasonal,263.5,8.368365591397849
2017,1,Panama,Single,light,Seasonal,1.5,0.0
2017,1,Papua New Guinea,Single,light,Seasonal,135.75,7.820333333333337
2017,1,Rwanda,Single,light,Seasonal,85.5,5.546507936507937
2017,1,Sumatra,Single,dark,Seasonal,21.5,0.0
2017,2,Brazil,Single,dark,Seasonal,2303.25,7.8255857142857135
2017,2,Colombia,Single,dark,Evergreen,561.5,10.149291666666661
2017,2,Colombia,Single,medium,Seasonal,241.0,7.946
2017,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,3689.75,10.214077777777776
2017,2,Ethiopia,Single,medium,Evergreen,617.25,8.473248226950348
2017,2,Guatemala,Single,medium,Seasonal,5.0,10.95
2017,2,Kenya,Single,medium,Seasonal,319.5,7.544652482269507
2017,2,"Kenya, Colombia",Blend,medium,Evergreen,167.5,6.040466666666666
2017,2,Mexico,Single,medium,Seasonal,350.0,8.326039999999999
2017,2,Panama,Single,light,Seasonal,1.5,56.0
2017,2,Papua New Guinea,Single,light,Seasonal,397.75,9.493755102040819
2017,2,Rwanda,Single,light,Seasonal,299.5,7.4883333333333315
2017,2,Sumatra,Single,dark,Seasonal,178.0,9.208222222222224
2017,3,Brazil,Single,dark,Seasonal,2325.5,8.269227513227502
2017,3,Colombia,Single,dark,Evergreen,742.0,9.917028985507246
2017,3,Colombia,Single,medium,Seasonal,224.5,5.534999999999999
2017,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,4182.25,10.120399385560674
2017,3,Ethiopia,Single,medium,Evergreen,479.75,9.49570446735395
2017,3,Kenya,Single,medium,Seasonal,357.25,8.428742138364784
2017,3,"Kenya, Colombia",Blend,medium,Evergreen,126.75,7.305466666666667
2017,3,Mexico,Single,medium,Seasonal,24.0,10.098666666666666
2017,3,Panama,Single,light,Seasonal,4.0,0.0
2017,3,Papua New Guinea,Single,light,Seasonal,438.75,7.18359649122807
2017,3,Rwanda,Single,light,Seasonal,460.5,9.072941176470586
2017,3,Sumatra,Single,dark,Seasonal,266.25,9.04666666666667
2017,4,Brazil,Single,dark,Seasonal,2359.5,7.976574585635356
2017,4,Colombia,Single,dark,Evergreen,1166.25,9.774308176100622
2017,4,Colombia,Single,medium,Seasonal,249.75,7.5733333333333315
2017,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,4377.25,9.327044217687073
2017,4,Ethiopia,Single,medium,Evergreen,536.5,9.658426966292136
2017,4,Kenya,Single,medium,Seasonal,20.25,10.548333333333334
2017,4,"Kenya, Colombia",Blend,medium,Evergreen,163.5,7.2498933333333335
2017,4,Papua New Guinea,Single,light,Seasonal,3.0,11.546666666666667
2017,4,Rwanda,Single,light,Seasonal,567.0,9.131904761904762
2017,4,Sumatra,Single,dark,Seasonal,263.0,10.353859649122809
2017,5,Brazil,Single,dark,Seasonal,2895.25,8.448814102564102
2017,5,Colombia,Single,dark,Evergreen,1360.0,9.929899749373433
2017,5,Colombia,Single,medium,Seasonal,214.0,5.903999999999999
2017,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,4719.0,10.175694323144098
2017,5,Ecuador,Single,light,Seasonal,6.0,8.986666666666666
2017,5,Ethiopia,Single,medium,Evergreen,485.25,9.695140186915882
2017,5,Ethiopia,Single,medium,Seasonal,26.0,1.3923809523809523
2017,5,Guatemala,Single,medium,Seasonal,82.5,7.556222222222222
2017,5,"Kenya, Colombia",Blend,medium,Evergreen,190.5,8.740323232323233
2017,5,Panama,Single,light,Seasonal,0.5,76.0
2017,5,Rwanda,Single,light,Seasonal,362.0,8.420697674418603
2017,5,Sumatra,Single,dark,Seasonal,-5.0,12.55
2017,6,Brazil,Single,dark,Seasonal,3128.0,8.470016920473764
