year,month,origin,blend,roast_level,type,sales,unit_price
2017,7,Colombia,Single,medium,Seasonal,3.0,0.0
2017,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,546.25,0.0
2017,7,Costa Rica,Single,medium,Seasonal,14.25,0.0
2017,7,Ecuador,Single,light,Seasonal,258.75,0.0
2017,7,Ethiopia,Single,dark,Seasonal,1110.0,0.0
2017,7,Ethiopia,Single,medium,Evergreen,432.0,0.0
2017,7,Ethiopia,Single,medium,Seasonal,2801.75,0.0
2017,7,Guatemala,Single,medium,Seasonal,641.0,0.0
2017,7,"Guatemala, Brazil ",Blend,dark,Evergreen,15.0,0.0
2017,7,Kenya,Single,medium,Seasonal,390.0,1.894175438596491
2017,7,Panama,Single,light,Seasonal,86.5,0.0
2017,7,Rwanda,Single,light,Seasonal,-20.0,0.0
2017,8,Brazil,Single,dark,Seasonal,347.25,0.0
2017,8,Colombia,Single,dark,Evergreen,5.25,0.0
2017,8,Colombia,Single,dark,Seasonal,6.75,0.0
2017,8,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,491.75,0.0
2017,8,Costa Rica,Single,medium,Seasonal,550.75,0.0
2017,8,Ecuador,Single,light,Seasonal,266.25,0.0
2017,8,Ethiopia,Single,dark,Seasonal,890.0,0.0
2017,8,Ethiopia,Single,medium,Evergreen,353.0,0.0
2017,8,Ethiopia,Single,medium,Seasonal,563.0,0.0
2017,8,Guatemala,Single,medium,Seasonal,3450.25,0.0
2017,8,"Guatemala, Brazil ",Blend,dark,Evergreen,8.25,0.0
2017,8,Kenya,Single,medium,Seasonal,320.25,0.0
2017,8,Mexico,Single,medium,Seasonal,7.5,0.0
2017,8,Nicaragua,Single,medium,Seasonal,3.0,0.0
2017,8,Panama,Single,light,Seasonal,7.0,0.0
